,Date,TD1,TD1New
271,2017-03-26,,182.85714285714286
272,2017-03-27,,184.14285714285714
273,2017-03-28,,185.42857142857142
274,2017-03-29,,186.71428571428572
275,2017-03-30,188.0,188.0
276,2017-03-31,,186.85714285714286
277,2017-04-01,,185.71428571428572
278,2017-04-02,,184.57142857142858
279,2017-04-03,,183.42857142857142
280,2017-04-04,,182.28571428571428
281,2017-04-05,,181.14285714285714
282,2017-04-06,180.0,180.0
283,2017-04-07,,182.57142857142858
284,2017-04-08,,185.14285714285714
285,2017-04-09,,187.71428571428572
286,2017-04-10,,190.28571428571428
287,2017-04-11,,192.85714285714286
288,2017-04-12,,195.42857142857144
289,2017-04-13,198.0,198.0
290,2017-04-14,,196.71428571428572
291,2017-04-15,,195.42857142857142
292,2017-04-16,,194.14285714285714
293,2017-04-17,,192.85714285714286
294,2017-04-18,,191.57142857142858
295,2017-04-19,,190.28571428571428
296,2017-04-20,189.0,189.0
297,2017-04-21,,189.25
298,2017-04-22,,189.5
299,2017-04-23,,189.75
300,2017-04-24,,190.0
301,2017-04-25,,190.25
302,2017-04-26,,190.5
303,2017-04-27,,190.75
304,2017-04-28,,191.0
305,2017-04-29,,191.25
306,2017-04-30,,191.5
307,2017-05-01,,191.75
308,2017-05-02,,192.0
309,2017-05-03,,192.25
310,2017-05-04,,192.5
311,2017-05-05,,192.75
312,2017-05-06,,193.0
313,2017-05-07,,193.25
314,2017-05-08,,193.5
315,2017-05-09,,193.75
316,2017-05-10,,194.0
317,2017-05-11,,194.25
318,2017-05-12,,194.5
319,2017-05-13,,194.75
320,2017-05-14,,195.0
321,2017-05-15,,195.25
322,2017-05-16,,195.5
323,2017-05-17,,195.75
324,2017-05-18,196.0,196.0
325,2017-05-19,,196.28571428571428
326,2017-05-20,,196.57142857142858
327,2017-05-21,,196.85714285714286
328,2017-05-22,,197.14285714285714
329,2017-05-23,,197.42857142857142
330,2017-05-24,,197.71428571428572
331,2017-05-25,198.0,198.0
332,2017-05-26,,196.85714285714286
333,2017-05-27,,195.71428571428572
334,2017-05-28,,194.57142857142858
335,2017-05-29,,193.42857142857142
336,2017-05-30,,192.28571428571428
337,2017-05-31,,191.14285714285714
338,2017-06-01,190.0,190.0
339,2017-06-02,,190.14285714285714
340,2017-06-03,,190.28571428571428
341,2017-06-04,,190.42857142857142
342,2017-06-05,,190.57142857142858
343,2017-06-06,,190.71428571428572
344,2017-06-07,,190.85714285714286
345,2017-06-08,191.0,191.0
346,2017-06-09,,191.0
347,2017-06-10,,191.0
348,2017-06-11,,191.0
349,2017-06-12,,191.0
350,2017-06-13,,191.0
351,2017-06-14,,191.0
352,2017-06-15,191.0,191.0
353,2017-06-16,,191.05555555555554
354,2017-06-17,,191.11111111111111
355,2017-06-18,,191.16666666666666
356,2017-06-19,,191.22222222222223
357,2017-06-20,,191.27777777777777
358,2017-06-21,,191.33333333333334
359,2017-06-22,,191.38888888888889
360,2017-06-23,,191.44444444444446
361,2017-06-24,,191.5
362,2017-06-25,,191.55555555555554
363,2017-06-26,,191.61111111111111
364,2017-06-27,,191.66666666666666
365,2017-06-28,,191.72222222222223
366,2017-06-29,,191.77777777777777
367,2017-06-30,,191.83333333333334
368,2017-07-01,,191.88888888888889
369,2017-07-02,,191.94444444444446
370,2017-07-03,192.0,192.0
371,2017-07-04,,192.28571428571428
372,2017-07-05,,192.57142857142858
373,2017-07-06,,192.85714285714286
374,2017-07-07,,193.14285714285714
375,2017-07-08,,193.42857142857142
376,2017-07-09,,193.71428571428572
377,2017-07-10,194.0,194.0
378,2017-07-11,,194.57142857142858
379,2017-07-12,,195.14285714285714
380,2017-07-13,,195.71428571428572
381,2017-07-14,,196.28571428571428
382,2017-07-15,,196.85714285714286
383,2017-07-16,,197.42857142857142
384,2017-07-17,198.0,198.0
385,2017-07-18,,197.14285714285714
386,2017-07-19,,196.28571428571428
387,2017-07-20,,195.42857142857142
388,2017-07-21,,194.57142857142858
389,2017-07-22,,193.71428571428572
390,2017-07-23,,192.85714285714286
391,2017-07-24,192.0,192.0
392,2017-07-25,,192.28571428571428
393,2017-07-26,,192.57142857142858
394,2017-07-27,,192.85714285714286
395,2017-07-28,,193.14285714285714
396,2017-07-29,,193.42857142857142
397,2017-07-30,,193.71428571428572
398,2017-07-31,194.0,194.0
399,2017-08-01,,193.85714285714286
400,2017-08-02,,193.71428571428572
401,2017-08-03,,193.57142857142858
402,2017-08-04,,193.42857142857142
403,2017-08-05,,193.28571428571428
404,2017-08-06,,193.14285714285714
405,2017-08-07,193.0,193.0
406,2017-08-08,,193.14285714285714
407,2017-08-09,,193.28571428571428
408,2017-08-10,,193.42857142857142
409,2017-08-11,,193.57142857142858
410,2017-08-12,,193.71428571428572
411,2017-08-13,,193.85714285714286
412,2017-08-14,194.0,194.0
413,2017-08-15,,193.57142857142858
414,2017-08-16,,193.14285714285714
415,2017-08-17,,192.71428571428572
416,2017-08-18,,192.28571428571428
417,2017-08-19,,191.85714285714286
